Hindi,English
बढ़े,Increased
खिड़की,Window
सर्जरी,Surgery
एफआईआर,FIR
सर्च,Search
निर्देशित,Directed
आंकड़ा,the figure
खाद,Compost
मार्गदर्शन,Guidance
u,A.
एंटी,Antioxidants
किस्मत,fate
इंस्पेक्टर,Inspector
अगुवाई,Lead
लेगा,Will
राजे,Raje
भूषण,Grace
बालिका,Girl
किराया,Rent
जातक,Jataka
बहनों,Sisters
इजाफा,Increase
आईसीसी,ICC
साइंस,Science
दीप,Deep
ईसाई,Christian
आत्मविश्वास,Self-confidence
दीपावली,Illumination
करूंगा,Will
स्टैंडर्ड,Standard
भागों,Parts
बर्फ,ice
साहू,Sahu
मिश्रण,Mix
एप,App
पड़ताल,Explore
छीन,Stripped
यथार्थ,True
मीरा,Meera
क्यूँ,Why
शर्म,shame
पंचायतों,Panchayats
मुहिम,Campaign
लाए,Brought
विद्यालयों,Schools
भांति,Kind
स्टील,Steel
साक्षी,witness
विद्वान,Scholar
ईमानदार,honest
बा,Ba
बदमाश,naughty
निभाने,fulfill
जायें,Go
समझे,Understand
जानवरों,Animals
राखी,Rakhi
साड़ी,Saree
संभाल,take care
आकलन,Estimation
स्कीम,Scheme
रहो,Stay
धवन,Dhawan
तुर्की,Turkey
सूक्ष्म,Subtle
राग,Melody
टेनिस,Tennis
नामों,Names
द्विवेदी,Dwivedi
धीमी,Slow
न्यायमूर्ति,Justice
प्रतिनिधियों,Representatives
मजबूरी,helplessness
बुखार,fever
गृहमंत्री,home Minister
अवकाश,Leave
मैसेज,MESSAGE
जला,Burn
कमजोरी,Weakness
स्वीकृत,Approved
छुटकारा,relief
मुठभेड़,Encounter
कार्यकारिणी,Executive
धाम,Dham
समूहों,Groups
मधुर,Sweet
चोरों,Thieves
पूर्ति,Fulfillment
विक्रम,Vikram
